/mnt/home/20236065/anaconda3/lib/python3.10/site-packages/glfw/__init__.py:916: GLFWError: (65544) b'X11: The DISPLAY environment variable is missing'
  warnings.warn(message, GLFWError)
===== HYPERPARAMTERS =====
Domain and task: walker - run
Discount factor gamma: 0.99
Target update weight tau: 0.005
Learning rate: 0.0001
Number of episodes: 10000
Random seed: 42
Temperature alpha: automatic
Replay buffer size: 1000000
Replay buffer batch size: 100
Save intermediate: True
Episode: 141, steps: 142000, return: 42.94
Episode: 142, steps: 143000, return: 44.14
Episode: 143, steps: 144000, return: 38.47
Episode: 144, steps: 145000, return: 55.38
Episode: 145, steps: 146000, return: 60.65
Episode: 146, steps: 147000, return: 46.13
Episode: 147, steps: 148000, return: 44.15
Episode: 148, steps: 149000, return: 54.67
Episode: 149, steps: 150000, return: 57.21
Episode: 150, steps: 151000, return: 51.37
Episode: 151, steps: 152000, return: 48.96
Episode: 152, steps: 153000, return: 52.46
Episode: 153, steps: 154000, return: 58.1
Episode: 154, steps: 155000, return: 50.65
Episode: 155, steps: 156000, return: 64.6
Episode: 156, steps: 157000, return: 65.59
Episode: 157, steps: 158000, return: 62.34
Episode: 158, steps: 159000, return: 42.11
Episode: 159, steps: 160000, return: 40.98
Episode: 160, steps: 161000, return: 45.59
Episode: 161, steps: 162000, return: 50.24
Episode: 162, steps: 163000, return: 45.24
Episode: 163, steps: 164000, return: 41.72
Episode: 164, steps: 165000, return: 42.75
Episode: 165, steps: 166000, return: 51.49
Episode: 166, steps: 167000, return: 50.92
Episode: 167, steps: 168000, return: 49.23
Episode: 168, steps: 169000, return: 50.38
Episode: 169, steps: 170000, return: 37.6
Episode: 170, steps: 171000, return: 41.59
Episode: 171, steps: 172000, return: 51.45
Episode: 172, steps: 173000, return: 45.43
Episode: 173, steps: 174000, return: 41.19
Episode: 174, steps: 175000, return: 61.43
Episode: 175, steps: 176000, return: 43.19
Episode: 176, steps: 177000, return: 48.53
Episode: 177, steps: 178000, return: 46.21
Episode: 178, steps: 179000, return: 43.27
Episode: 179, steps: 180000, return: 33.91
Episode: 180, steps: 181000, return: 36.53
Episode: 181, steps: 182000, return: 31.64
Episode: 182, steps: 183000, return: 32.96
Episode: 183, steps: 184000, return: 39.72
Episode: 184, steps: 185000, return: 29.57
Episode: 185, steps: 186000, return: 33.41
Episode: 186, steps: 187000, return: 39.9
Episode: 187, steps: 188000, return: 51.46
Episode: 188, steps: 189000, return: 40.64
Episode: 189, steps: 190000, return: 64.43
Episode: 190, steps: 191000, return: 42.83
Episode: 191, steps: 192000, return: 46.81
Episode: 192, steps: 193000, return: 40.55
Episode: 193, steps: 194000, return: 43.45
Episode: 194, steps: 195000, return: 45.6
Episode: 195, steps: 196000, return: 42.46
Episode: 196, steps: 197000, return: 46.06
